32 20
#############
#ws.......t.#    ########
#s......c...######......#
#....................s..#
#...........######......# ######
#.....s.....#  ###......# #q..k#
#........b..#  #a.p.....###....#
#.%.........#  ###.........g...#
#####..######    ###..##########
    #..#           #gg#
    #..#           #..#
    #..#          ##..##
  ###..####      #...s..#
  #.......#      #..s...#
  #......8#   ####......#
  #.......#   #n.#......#
  #......b#   #..d......#
  #.......#   ####......#
  #@.....^#      #......#
  #########       ######
